Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),GPS Altitude(m),Acceleration Sensor(Z axis)(g),GPS Bearing(°),Trip Distance(km),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS Accuracy(m),Engine RPM(rpm),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h)
11-mai-2016 20:29:37.873,0.06498718,9.13278198,3.26608276,0.02493971,-0.12232877,0.05809072,0.8394978,119.19999695,0.14829363,39.70999908,10.25697136,48.8302002,2.08141661,10,0,3774,70,125.52855682,124
11-mai-2016 20:29:37.973,0.17027283,9.34812927,3.81164551,0.09066421,-0.23729788,-0.07740452,0.7010752,119.19999695,0.18951569,39.70999908,10.26155281,48.8302002,2.08141661,10,0,3774,70,125.52855682,124
11-mai-2016 20:29:38.073,-0.00799561,8.87435913,6.01184082,0.18543506,0.00162878,-0.13606608,0.94669974,119.30000305,0.1963456,39.77000046,10.26155281,48.8302269,2.08144665,10,0.88,3795,70,125.45446777,124
11-mai-2016 20:29:38.172,0.48373413,7.87893677,3.625,0.07593568,-0.11424123,0.04931031,0.80315357,119.40000153,0.26952088,39.75999832,10.26810551,48.83027267,2.0815084,10,0,3783,70,124.67663574,123
11-mai-2016 20:29:38.277,-0.23171997,6.64424133,4.7197113,0.03705887,-0.05975829,-0.04459735,0.91499066,119.40000153,0.11036597,39.75999832,10.27326488,48.83027267,2.0815084,10,0,3783,70,124.67663574,123
11-mai-2016 20:29:38.371,0.40357971,9.98223877,0.38870239,0.11193573,-0.05975829,-0.04459735,0.91499066,119.5,0.11036597,39.74000168,10.27326488,48.83032227,2.08156824,10,0,3762,70,124.28771973,123
11-mai-2016 20:29:38.471,0.86778259,8.15052795,7.46069336,0.03440873,-0.07178814,-0.07338062,0.70912457,119.59999847,0.49392462,39.75,10.27823257,48.83034515,2.08159995,10,0,3754,70,123.88027954,122
11-mai-2016 20:29:38.574,1.48153687,7.27116394,4.92071533,0.06006706,-0.08953215,-0.08484415,0.88584191,119.59999847,0.0909744,39.77000046,10.2834177,48.83037186,2.08162999,10,0,3754,70,123.82471466,122
11-mai-2016 20:29:38.672,-2.06222534,8.64225769,-0.19155884,0.04073733,-0.12551849,-0.01922981,0.68936747,119.59999847,0.43721357,39.77000046,10.2834177,48.83037186,2.08162999,10,0,3754,70,123.82471466,122
11-mai-2016 20:29:38.774,0.86180115,8.18762207,2.98371887,-0.01457816,-0.11247297,-0.06569678,0.84474272,119.69999695,0.16317289,39.79999924,10.29124737,48.83041763,2.08169007,10,0,3718,70,123.06539917,121
11-mai-2016 20:29:38.871,0.86180115,8.8611908,4.41223145,0.03992845,-0.01206494,0.02638168,0.95901716,119.80000305,0.13439117,39.79999924,10.29124737,48.83044052,2.08172011,10,0,3709,70,122.97279358,121
11-mai-2016 20:29:38.972,-1.14099121,9.62809753,0.63876343,0.02565537,-0.23188877,-0.05557403,0.6982708,119.80000305,0.2145177,39.79999924,10.29689407,48.83044052,2.08172011,10,0.88,3709,70,122.97279358,121
11-mai-2016 20:29:39.071,0.25880432,7.36927795,1.7310791,-0.13512462,0.10651433,-0.02264553,1.08292603,119.80000305,0.12426843,39.77000046,10.29689407,48.83046341,2.08174992,10,0,3709,70,122.32460022,121
11-mai-2016 20:29:39.171,-0.56552124,9.31822205,0.03097534,0.04708795,-0.04805228,-0.05764742,0.94986969,119.90000153,-0.09684247,39.75999832,10.29689407,48.8304863,2.08177996,10,0.88,3709,70,121.88011169,121
11-mai-2016 20:29:39.271,-0.20420837,10.10786438,2.11393738,0.04432162,-0.04805228,-0.05764742,0.94986969,120,-0.09684247,39.68000031,10.29689407,48.83050919,2.08181,10,0,3709,70,121.86159515,121
11-mai-2016 20:29:39.372,-0.38366699,8.38502502,5.26289368,0.02354831,-0.15690941,-0.02276686,0.6318025,120,0.45733619,39.68000031,10.29689407,48.83050919,2.08181,10,0,3709,70,121.86159515,121
11-mai-2016 20:29:39.473,0.64883423,7.33337402,7.8638916,0.19085944,-0.06776558,0.0022336,0.93182045,120.09999847,-0.08684104,39.59000015,10.29689407,48.83058167,2.08189845,10,0,3677,70,121.13931274,121
11-mai-2016 20:29:39.574,-0.38725281,8.18641663,4.08203125,0.08622817,0.00740718,-0.27107447,0.90681845,120.09999847,-0.4440569,39.63000107,10.31612778,48.83060455,2.08192658,10,0,3677,70,120.25035858,119
11-mai-2016 20:29:39.674,-0.01637268,8.35630798,2.46687317,0.08024862,0.01970995,-0.05386617,0.78668934,120.09999847,0.54600048,39.63000107,10.32093334,48.83060455,2.08192658,10,0.88,3635,70,120.25035858,118
11-mai-2016 20:29:39.772,-0.95913696,7.79997253,3.56756592,-0.02744901,0.05670723,0.12894844,0.88742685,120.19999695,0.45831302,39.61999893,10.32093334,48.83062744,2.08195662,10,0.88,3629,70,120.13922882,118
11-mai-2016 20:29:39.872,0.24923706,9.14474487,0.8732605,0.02954775,-0.07147179,-0.00337529,0.86620611,120.19999695,0.23354375,39.56999969,10.3249321,48.83067322,2.08201337,10,0,3615,70,119.73180389,118
11-mai-2016 20:29:39.972,-0.32264709,8.24504089,5.33227539,0.09958073,0.0118875,-0.04423182,1.01036203,120.30000305,-0.07928009,39.56000137,10.32922554,48.83069611,2.08204174,10,0,3600,70,119.08359528,118
